state,date,inpatient_beds_used_covid
VI,2022/05/10,14
WY,2022/05/10,4
VT,2022/05/08,51
AS,2022/05/07,3
VI,2022/05/07,11
AS,2022/05/06,3
VI,2022/05/05,11
AS,2022/05/04,3
VI,2022/05/04,12
AS,2022/05/03,3
VI,2022/05/03,13
AS,2022/05/02,3
VI,2022/05/02,13
AS,2022/05/01,4
UT,2022/04/30,70
AS,2022/04/29,3
VI,2022/04/29,10
AS,2022/04/28,3
VI,2022/04/27,9
AS,2022/04/26,3
VI,2022/04/26,8
AS,2022/04/25,3
AS,2022/04/24,7
VI,2022/04/24,7
VI,2022/04/23,4
AS,2022/04/22,8
WV,2022/04/22,104
AS,2022/04/21,10
VI,2022/04/21,1
AS,2022/04/20,10
AS,2022/04/18,5
VI,2022/04/18,1
WY,2022/04/18,7
VI,2022/04/16,1
AS,2022/04/15,6
VI,2022/04/15,1
AK,2022/04/14,21
VI,2022/04/13,3
AS,2022/04/12,8
PR,2022/04/12,79
AS,2022/04/11,7
AS,2022/04/10,16
VI,2022/04/10,3
AS,2022/04/09,16
VI,2022/04/09,2
AS,2022/04/08,20
WY,2022/04/08,9
AS,2022/04/07,20
VI,2022/04/07,1
AS,2022/04/06,22
AS,2022/04/04,22
RI,2022/04/04,46
AS,2022/04/03,26
VT,2022/04/02,22
AS,2022/04/01,28
AS,2022/03/31,27
VI,2022/03/30,0
AS,2022/03/29,5
AS,2022/03/28,5
AS,2022/03/26,3
VI,2022/03/26,1
AS,2022/03/25,3
VI,2022/03/24,2
AS,2022/03/23,4
VI,2022/03/23,2
AS,2022/03/22,1
WV,2022/03/22,229
AS,2022/03/21,6
VI,2022/03/21,2
WY,2022/03/21,16
AK,2022/03/18,39
AS,2022/03/18,1
VI,2022/03/18,2
AS,2022/03/17,3
VI,2022/03/16,2
AS,2022/03/15,3
VI,2022/03/15,2
AS,2022/03/14,2
WV,2022/03/14,319
AS,2022/03/13,1
VI,2022/03/13,2
AS,2022/03/12,1
VI,2022/03/11,3
AS,2022/03/10,2
VI,2022/03/10,3
AS,2022/03/09,2
VI,2022/03/08,2
AS,2022/03/07,4
VI,2022/03/07,2
AS,2022/03/06,0
VI,2022/03/06,2
AS,2022/03/05,0
VI,2022/03/05,2
AS,2022/03/04,0
VI,2022/03/03,3
AS,2022/03/02,0
VI,2022/03/02,3
AS,2022/03/01,0
VI,2022/02/28,4
AS,2022/02/27,0
VT,2022/02/27,34
AS,2022/02/26,0
VT,2022/02/26,29
AS,2022/02/25,0
VI,2022/02/25,4
AS,2022/02/24,0
VI,2022/02/23,5
AS,2022/02/22,0
VI,2022/02/22,6
AS,2022/02/21,0
VI,2022/02/20,7
AS,2022/02/19,0
VI,2022/02/19,7
AS,2022/02/18,0
VI,2022/02/18,6
AS,2022/02/17,0
VI,2022/02/17,6
AS,2022/02/16,0
VI,2022/02/15,7
AS,2022/02/14,0
VI,2022/02/14,7
AS,2022/02/13,0
VI,2022/02/12,9
AS,2022/02/11,0
VI,2022/02/11,9
AS,2022/02/10,0
VI,2022/02/10,8
AS,2022/02/09,0
VI,2022/02/09,7
AS,2022/02/08,0
VI,2022/02/07,17
VI,2022/02/06,17
