timepoints,I,D
786,6609.0,35198.0
787,6609.0,35198.0
788,6609.0,35198.0
789,6817.0,35205.0
790,6817.0,35205.0
791,6821.0,35312.0
792,6821.0,35312.0
793,5685.0,35351.0
794,5685.0,35351.0
795,5685.0,35351.0
796,5374.0,35357.0
797,5374.0,35357.0
798,5279.0,35441.0
799,5279.0,35441.0
800,5378.0,35485.0
801,5378.0,35485.0
802,5378.0,35485.0
803,3946.0,35485.0
804,3946.0,35485.0
805,5697.0,35554.0
806,5697.0,35554.0
807,3714.0,35554.0
808,3714.0,35554.0
809,3714.0,35554.0
810,3714.0,35554.0
811,3714.0,35554.0
812,7668.0,35635.0
813,7668.0,35635.0
814,7668.0,35635.0
815,7668.0,35635.0
816,7668.0,35635.0
817,7668.0,35635.0
818,7668.0,35635.0
819,10434.0,35713.0
820,10434.0,35713.0
821,10434.0,35713.0
822,10434.0,35713.0
823,10434.0,35713.0
824,10434.0,35713.0
825,10434.0,35713.0
826,14426.0,35779.0
827,14426.0,35779.0
828,14426.0,35779.0
829,14426.0,35779.0
830,14426.0,35779.0
831,14426.0,35779.0
832,14426.0,35779.0
833,18816.0,35841.0
834,18816.0,35841.0
835,18816.0,35841.0
836,18816.0,35841.0
837,18816.0,35841.0
838,18816.0,35841.0
839,18816.0,35841.0
840,27534.0,35916.0
841,27534.0,35916.0
842,27534.0,35916.0
843,27534.0,35916.0
844,27534.0,35916.0
845,27534.0,35916.0
846,27534.0,35916.0
847,29097.0,35993.0
848,29097.0,35993.0
849,29097.0,35993.0
850,29097.0,35993.0
851,29097.0,35993.0
852,29097.0,35993.0
853,29097.0,35993.0
854,25820.0,36131.0
855,25820.0,36131.0
856,25820.0,36131.0
857,25820.0,36131.0
858,25820.0,36131.0
859,25820.0,36131.0
860,25820.0,36131.0
861,19376.0,36181.0
862,19376.0,36181.0
863,19376.0,36181.0
864,19376.0,36181.0
865,19376.0,36181.0
866,19376.0,36181.0
867,19376.0,36181.0
868,18304.0,36312.0
869,18304.0,36312.0
870,18304.0,36312.0
871,18304.0,36312.0
872,18304.0,36312.0
873,18304.0,36312.0
874,18304.0,36312.0
875,15518.0,36450.0
876,15518.0,36450.0
877,15518.0,36450.0
878,15518.0,36450.0
879,15518.0,36450.0
880,15518.0,36450.0
881,15518.0,36450.0
882,10564.0,36520.0
883,10564.0,36520.0
884,10564.0,36520.0
885,10564.0,36520.0
886,10564.0,36520.0
887,10564.0,36520.0
888,24793.0,36694.0
889,14229.0,36694.0
890,14229.0,36694.0
891,14229.0,36694.0
892,14229.0,36694.0
893,14229.0,36694.0
894,14229.0,36694.0
895,12915.0,36758.0
896,12915.0,36758.0
897,12915.0,36758.0
898,12915.0,36758.0
899,12915.0,36758.0
900,12915.0,36758.0
901,12915.0,36758.0
902,16399.0,36917.0
903,16399.0,36917.0
904,16399.0,36917.0
905,16399.0,36917.0
906,16399.0,36917.0
907,16399.0,36917.0
908,16399.0,36917.0
909,16190.0,37066.0
910,16190.0,37066.0
911,16190.0,37066.0
912,16190.0,37066.0
913,16190.0,37066.0
914,16190.0,37066.0
915,16190.0,37066.0
916,19360.0,37203.0
917,19360.0,37203.0
918,19360.0,37203.0
919,19360.0,37203.0
920,19360.0,37203.0
921,19360.0,37203.0
922,19360.0,37203.0
923,19961.0,37309.0
924,19961.0,37309.0
925,19961.0,37309.0
926,19961.0,37309.0
927,19961.0,37309.0
928,19961.0,37309.0
929,19961.0,37309.0
930,15979.0,37446.0
931,15979.0,37446.0
932,15979.0,37446.0
933,15979.0,37446.0
934,15979.0,37446.0
935,15979.0,37446.0
936,15979.0,37446.0
937,22920.0,37549.0
938,22920.0,37549.0
939,22920.0,37549.0
940,22920.0,37549.0
941,22920.0,37549.0
942,22920.0,37549.0
943,22920.0,37549.0
944,19187.0,37683.0
945,19187.0,37683.0
946,19187.0,37683.0
947,19187.0,37683.0
948,19187.0,37683.0
949,19187.0,37683.0
950,19187.0,37683.0
951,0.0,37683.0
952,18426.0,37812.0
953,18426.0,37812.0
954,18426.0,37812.0
955,18426.0,37812.0
956,18426.0,37812.0
957,18426.0,37812.0
958,33968.0,37893.0
959,15542.0,37893.0
960,15542.0,37893.0
961,15542.0,37893.0
962,15542.0,37893.0
963,15542.0,37893.0
964,15542.0,37893.0
965,18119.0,38087.0
966,18119.0,38087.0
967,18119.0,38087.0
968,18119.0,38087.0
969,18119.0,38087.0
970,18119.0,38087.0
971,18119.0,38087.0
972,16639.0,38230.0
973,16639.0,38230.0
974,16639.0,38230.0
975,16639.0,38230.0
976,16639.0,38230.0
977,16639.0,38230.0
978,16639.0,38230.0
979,14380.0,38388.0
980,14380.0,38388.0
981,14380.0,38388.0
982,14380.0,38388.0
983,14380.0,38388.0
984,14380.0,38388.0
985,14380.0,38388.0
986,12715.0,38532.0
987,12715.0,38532.0
988,12715.0,38532.0
989,12715.0,38532.0
990,12715.0,38532.0
991,12715.0,38532.0
992,12715.0,38532.0
993,12365.0,38684.0
994,12365.0,38684.0
995,12365.0,38684.0
996,12365.0,38684.0
997,12365.0,38684.0
998,12365.0,38684.0
999,12365.0,38684.0
1000,12335.0,38857.0
1001,12335.0,38857.0
1002,12335.0,38857.0
1003,12335.0,38857.0
1004,12335.0,38857.0
1005,12335.0,38857.0
1006,12335.0,38857.0
1007,12064.0,39015.0
1008,12064.0,39015.0
1009,12064.0,39015.0
1010,12064.0,39015.0
1011,12064.0,39015.0
1012,12064.0,39015.0
1013,12064.0,39015.0
1014,11570.0,39170.0
1015,11570.0,39170.0
1016,11570.0,39170.0
1017,11570.0,39170.0
1018,11570.0,39170.0
1019,11570.0,39170.0
1020,11570.0,39170.0
1021,0.0,39170.0
1022,9796.0,39337.0
1023,9796.0,39337.0
1024,9796.0,39337.0
1025,9796.0,39337.0
1026,9796.0,39337.0
1027,9796.0,39337.0
1028,22492.0,39460.0
1029,12696.0,39460.0
1030,12696.0,39460.0
1031,12696.0,39460.0
1032,12696.0,39460.0
1033,12696.0,39460.0
1034,12696.0,39460.0
1035,8867.0,39735.0
1036,8867.0,39735.0
1037,8867.0,39735.0
1038,8867.0,39735.0
1039,8867.0,39735.0
1040,8867.0,39735.0
1041,8867.0,39735.0
1042,8622.0,39848.0
1043,8622.0,39848.0
1044,8622.0,39848.0
1045,8622.0,39848.0
1046,8622.0,39848.0
1047,8622.0,39848.0
1048,8622.0,39848.0
1049,11759.0,40089.0
1050,11759.0,40089.0
1051,11759.0,40089.0
1052,11759.0,40089.0
1053,11759.0,40089.0
1054,11759.0,40089.0
1055,11759.0,40089.0
1056,12948.0,40270.0
1057,12948.0,40270.0
1058,12948.0,40270.0
1059,12948.0,40270.0
1060,12948.0,40270.0
1061,12948.0,40270.0
1062,12948.0,40270.0
1063,14259.0,40419.0
1064,14259.0,40419.0
1065,14259.0,40419.0
1066,14259.0,40419.0
1067,14259.0,40419.0
1068,14259.0,40419.0
1069,14259.0,40419.0
1070,10752.0,40529.0
1071,10752.0,40529.0
1072,10752.0,40529.0
1073,10752.0,40529.0
1074,10752.0,40529.0
1075,10752.0,40529.0
1076,10752.0,40529.0
1077,9659.0,40598.0
1078,9659.0,40598.0
1079,9659.0,40598.0
1080,9659.0,40598.0
1081,9659.0,40598.0
1082,9659.0,40598.0
1083,9659.0,40598.0
1084,9757.0,40762.0
1085,9757.0,40762.0
1086,9757.0,40762.0
1087,9757.0,40762.0
1088,9757.0,40762.0
1089,9757.0,40762.0
1090,9757.0,40762.0
1091,9556.0,40945.0
1092,9556.0,40945.0
1093,9556.0,40945.0
1094,9556.0,40945.0
1095,9556.0,40945.0
1096,9556.0,40945.0
1097,9556.0,40945.0
1098,6526.0,41204.0
1099,6526.0,41204.0
1100,6526.0,41204.0
1101,6526.0,41204.0
1102,6526.0,41204.0
1103,6526.0,41204.0
1104,6526.0,41204.0
1105,5949.0,41450.0
1106,5949.0,41450.0
1107,5949.0,41450.0
1108,5949.0,41450.0
1109,5949.0,41450.0
1110,5949.0,41450.0
1111,5949.0,41450.0
1112,5516.0,41569.0
1113,5516.0,41569.0
1114,5516.0,41569.0
1115,5516.0,41569.0
1116,5516.0,41569.0
1117,5516.0,41569.0
1118,5516.0,41569.0
1119,6679.0,41627.0
1120,6679.0,41627.0
1121,6679.0,41627.0
1122,6679.0,41627.0
1123,6679.0,41627.0
1124,6679.0,41627.0
1125,6679.0,41627.0
1126,6513.0,41716.0
1127,6513.0,41716.0
1128,6513.0,41716.0
1129,6513.0,41716.0
1130,6513.0,41716.0
1131,6513.0,41716.0
1132,6513.0,41716.0
1133,7456.0,41855.0
1134,7456.0,41855.0
1135,7456.0,41855.0
