timepoint_id,sample_id,timepoint_unknown,persistent_beta_param,persistent_gamma_param,persistent_S0_param,persistent_I0_param,persistent_R0_param,persistent_zeta_param,S_state,I_state,R_state,noninf_observable_state
62,22,62.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.3242374062538147,994.1055908203125,1006.5701293945312,1006.8943481445312
63,22,63.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.27593061327934265,975.5469360351562,1025.1767578125,1025.45263671875
64,22,64.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.23552916944026947,957.3275756835938,1043.4364013671875,1043.671875
65,22,65.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.20163890719413757,939.4439086914062,1061.3551025390625,1061.5567626953125
66,22,66.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.1731267273426056,921.8878784179688,1078.93994140625,1079.113037109375
67,22,67.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.1490703672170639,904.6569213867188,1096.1944580078125,1096.343505859375
68,22,68.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.12871628999710083,887.7456665039062,1113.1251220703125,1113.2537841796875
69,22,69.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.11144667118787766,871.146728515625,1129.7431640625,1129.8546142578125
70,22,70.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.0967545211315155,854.855224609375,1146.0469970703125,1146.143798828125
71,22,71.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.08422147482633591,838.8677368164062,1162.048583984375,1162.1328125
72,22,72.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.07350242137908936,823.1774291992188,1177.7493896484375,1177.8228759765625
73,22,73.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.064311183989048,807.7793579101562,1193.1566162109375,1193.220947265625
74,22,74.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.0564100444316864,792.6680908203125,1208.2757568359375,1208.3321533203125
75,22,75.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.049601104110479355,777.8385620117188,1223.1121826171875,1223.1617431640625
76,22,76.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.04371912032365799,763.2857055664062,1237.6708984375,1237.714599609375
77,22,77.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.038625821471214294,749.0048217773438,1251.9599609375,1251.99853515625
78,22,78.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.03420495241880417,734.990234375,1265.9774169921875,1266.0115966796875
79,22,79.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.03035915270447731,721.2362670898438,1279.73291015625,1279.7633056640625
80,22,80.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.02700592204928398,707.7408447265625,1293.2322998046875,1293.25927734375
81,22,81.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.02407572604715824,694.4971923828125,1306.4788818359375,1306.5029296875
82,22,82.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.021509630605578423,681.5020751953125,1319.478515625,1319.5
83,22,83.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.019257646054029465,668.7474365234375,1332.23193359375,1332.251220703125
84,22,84.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.01727714203298092,656.232666015625,1344.750244140625,1344.767578125
85,22,85.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.015531825833022594,643.951904296875,1357.032958984375,1357.0484619140625
86,22,86.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.01399067509919405,631.8997192382812,1369.0843505859375,1369.098388671875
87,22,87.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.012627122923731804,620.0747680664062,1380.9127197265625,1380.92529296875
88,22,88.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.011418349109590054,608.4701538085938,1392.5185546875,1392.530029296875
89,22,89.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.010344752110540867,597.0821533203125,1403.905517578125,1403.9158935546875
90,22,90.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.009389434941112995,585.9078979492188,1415.0828857421875,1415.09228515625
91,22,91.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.008537812158465385,574.9425659179688,1426.0491943359375,1426.0577392578125
92,22,92.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.007777262944728136,564.1814575195312,1436.809326171875,1436.817138671875
93,22,93.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.007096833549439907,553.6232299804688,1447.3699951171875,1447.3770751953125
94,22,94.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.006487059406936169,543.2620239257812,1457.732666015625,1457.7391357421875
95,22,95.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.005939630325883627,533.0941772460938,1467.8997802734375,1467.90576171875
